name,url1,url2,url3
Angelina College,http://www.angelina.edu/,https://en.wikipedia.org/wiki/Angelina_College,http://www.angelinaathletics.com/sports/mbkb/index
Angelo State University,https://www.angelo.edu/,https://angelosports.com/,https://angelosports.com/index.aspx?path=baseball
Anna Maria College,https://www.annamaria.edu/,https://www.annamaria.edu/admission,https://www.annamaria.edu/academics
Anne Arundel Community College,https://www.aacc.edu/,https://en.wikipedia.org/wiki/Anne_Arundel_Community_College,https://www.umuc.edu/locations/anne-arundel-community-college.cfm
Anoka Technical College,http://www.anokatech.edu/,https://www.niche.com/colleges/anoka-technical-college/,https://www.usnews.com/education/community-colleges/anoka-technical-college-CC00229
Anoka-Ramsey Community College,http://www.anokaramsey.edu/,http://www.arccgoldenrams.com/,https://en.wikipedia.org/wiki/Anoka-Ramsey_Community_College
Antelope Valley College,https://www.avc.edu/,https://en.wikipedia.org/wiki/Antelope_Valley_College,https://www.facebook.com/avcollege/
Antioch College,https://antiochcollege.edu/,https://antiochcollege.edu/about,https://antiochcollege.edu/about/mission-and-vision
Antioch University Online,https://www.antioch.edu/auonline/,https://www.antioch.edu/degrees-programs/online-programs/,https://www.antioch.edu/
Antioch University-Los Angeles,https://www.antioch.edu/los-angeles/,https://en.wikipedia.org/wiki/Antioch_University_Los_Angeles,https://en.wikipedia.org/wiki/Antioch_University_Los_Angeles#Background
Antioch University-Midwest,https://www.antioch.edu/midwest/,https://en.wikipedia.org/wiki/Antioch_University_Midwest,https://en.wikipedia.org/wiki/Antioch_University_Midwest#Background
Antioch University-New England,https://www.antioch.edu/new-england/,https://en.wikipedia.org/wiki/Antioch_University_New_England,https://en.wikipedia.org/wiki/Antioch_University_New_England#History
Antioch University-PhD Program in Leadership and Change,https://www.antioch.edu/gslc/degrees-programs/business-management-leadership/phd-leadership-change/,https://www.antioch.edu/gslc/,https://www.antioch.edu/degrees-programs/doctoral-programs/
Antioch University-Santa Barbara,https://www.antioch.edu/santa-barbara/,https://www.antioch.edu/santa-barbara/event/psyd-in-clinical-psychology-information-session-june-4/,https://www.antioch.edu/santa-barbara/event/mba-workshop-marketing-and-personal-branding-with-linda-le-brock/
Antioch University-Seattle,https://www.antioch.edu/seattle/,https://www.antioch.edu/seattle/event/psychology-counseling-and-family-therapy-info-sessions-july-9/,https://en.wikipedia.org/wiki/Antioch_University_Seattle
Antonelli College-Cincinnati,http://www.antonellicollege.edu/,https://en.wikipedia.org/wiki/Antonelli_College,https://www.niche.com/colleges/antonelli-college---cincinatti/
Antonelli College-Hattiesburg,http://www.antonellicollege.edu/,https://www.niche.com/colleges/antonelli-college---hattiesburg/,https://en.wikipedia.org/wiki/Antonelli_College
Antonelli College-Jackson,http://www.antonellicollege.edu/,https://en.wikipedia.org/wiki/Antonelli_College,https://www.communitycollegereview.com/antonelli-college-jackson-profile
Antonelli Institute,https://www.antonelli.edu/,https://www.antonelli.edu/your-career/transcript-form,https://www.antonelli.edu/your-career/employers
AOMA Graduate School of Integrative Medicine,https://aoma.edu/,https://www.yelp.com/biz/aoma-graduate-school-of-integrative-medicine-austin,https://www.facebook.com/aomaaustin/
Apex School of Theology,https://apexsot.edu/,http://www.seminaryadvisor.org/apex-school-of-theology.html,https://www.niche.com/colleges/apex-school-of-theology/
Appalachian Bible College,https://abc.edu/,https://en.wikipedia.org/wiki/Appalachian_Bible_College,https://www.facebook.com/appalachianbible/
Appalachian College of Pharmacy,https://www.acp.edu/,https://en.wikipedia.org/wiki/Appalachian_College_of_Pharmacy,https://en.wikipedia.org/wiki/Appalachian_College_of_Pharmacy#History
Appalachian School of Law,http://www.asl.edu/,http://www.asl.edu/cost-of-attendance/,http://www.asl.edu/life-in-grundy/
Appalachian State University,https://www.appstate.edu/,https://appstatesports.com/,https://en.wikipedia.org/wiki/Appalachian_State_University
Aquinas College,https://www.aquinas.edu/,https://www.aquinas.edu/admissions/undergraduate,https://www.aquinas.edu/elm
Aquinas Institute of Theology,https://www.ai.edu/,https://en.wikipedia.org/wiki/Aquinas_Institute_of_Theology,https://en.wikipedia.org/wiki/Aquinas_Institute_of_Theology#Degrees/Programs_of_Study
Arapahoe Community College,https://www.arapahoe.edu/,https://www.cccs.edu/college/arapahoe-community-college/,https://en.wikipedia.org/wiki/Arapahoe_Community_College
Arcadia University,https://www.arcadia.edu/,https://en.wikipedia.org/wiki/Arcadia_University,https://en.wikipedia.org/wiki/Arcadia_University#History
Argosy University-Atlanta,https://www.ajc.com/news/local-education/argosy-university-students-still-await-school-fate/htfQGkh15yf6sd6VTJ4VpK/,https://www.ajc.com/news/local-education/argosy-university-students-worry-amid-school-financial-problems/8HlvvDKGDXzZIaepmzuSdO/,https://www.argosy.edu/closed-school-information
Argosy University-Chicago,https://www.chicagotribune.com/news/breaking/ct-met-argosy-university-chicago-could-close-friday-20190307-story.html,https://www.argosy.edu/closed-school-information,https://www.argosy.edu/clinical-psychology/locations/chicago-downtown/programs/doctor-of-psychology
Argosy University-Dallas,https://www.argosy.edu/locations/dallas/faculty,https://en.wikipedia.org/wiki/Argosy_University,https://en.wikipedia.org/wiki/Dream_Center
Argosy University-Denver,https://www.argosy.edu/locations/denver,https://www.argosy.edu/locations/denver/counseling-psychology-and-social-sciences/master-of-arts-in-clinical-mental-health-counseling,https://denver.cbslocal.com/2019/03/08/argosy-university-financial-aid-violations/
Argosy University-Hawaii,https://www.argosy.edu/clinical-psychology/locations/hawaii,https://www.argosy.edu/map/hawaii,https://www.staradvertiser.com/2019/03/06/hawaii-news/newswatch/argosy-university-hawaii-announces-possible-closure-this-week/
